"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-1930"	-1229295.88415279	2445827.01614933	3.74318274	"Man-Made"	1.482	0.364817	31	178	1.15	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-1953"	-1320635.21887472	2799986.49277465	8.362490243	"Natural"	9.173	1.213962	15	226	2.13	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1958"	-2094714.54233681	2589805.74557797	1.750361848	"Man-Made"	0.668	0.918178	10	18	1.31	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1985"	-1565747.26905531	2889330.02528159	2.428401958	"Natural"	0.664	1.305752	3	27	0.241	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1989"	-1539395.35760068	2287115.22886115	3.74318274	"Man-Made"	17.12	0.708426	71	658	9.06	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2005"	-1635267.60572276	2317861.14543687	3.399432485	"Man-Made"	194.4	0.313212	276	1398	45.5	"Poor"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-2027"	-788186.117049858	2177703.24633049	40.31619797	"Man-Made"	3.952	0.51888	49	551	9.21	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-2037"	-1911328.77784786	2069996.43832199	2.549720428	"Man-Made"	19.2	0.829984	175	1190	24.3	"Good"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-2049"	-1422252.67222704	2923307.52106216	7.59453197	"Natural"	1.415	1.384768	5	276	0.88	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2082"	-2155206.89851842	2431464.22550687	4.40366347	"Man-Made"	3.568	1.06477	17	496	3.35	"Poor"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-2095"	-1098124.84157981	2216603.91995991	3.108017713	"Man-Made"	2.888	0.624716	48	316	12.5	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2134"	-2050632.45897152	2835401.45305594	21.49824829	"Man-Made"	6.149	0.32046	21	211	2.89	"Poor"	"Poor"	"Good"	"Poor"	"Good"
"NLA06608-2177"	-1385875.05178076	2989192.43548247	20.56727334	"Natural"	1.389	1.239833	3	334	0.5	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2185"	-2007364.05364091	1986646.04259728	1.224245099	"Man-Made"	4.2	0.364759	15	188	2.01	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2193"	-2129878.82252145	2919858.26350815	32.54937288	"Natural"	1.664	0.395192	15	294	1.44	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2217"	-1370397.91132906	1370980.70497423	3.185761615	"Man-Made"	2.787	1.129259	9	300	1.65	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2241"	-1586950.28998284	2973894.09771325	8.741017273	"Natural"	1.128	0.390791	9	256	0.45	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2250"	-1159276.42603568	2457360.92418205	10.82677028	"Natural"	0.701	1.034473	11	140	0.758	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2257"	-2006952.13461183	2997663.24340639	225.0452854	"Natural"	1.911	0.982671	6	214	0.468	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2305"	-1528287.01228211	2964199.40216697	9.925305104	"Natural"	6.537	1.171322	9	329	1.05	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2322"	-1264347.50641138	2157765.8524083	11.3503748	"Man-Made"	3.568	0.828941	31	388	1.57	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2345"	-1271184.73203404	1914109.09529712	2.500256737	"Man-Made"	3.04	1.321991	15	391	3.76	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2372"	-1171492.86722346	1550959.22395066	1.201463105	"Man-Made"	4.837	0.689921	54	439	11.5	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2379"	-807072.14178271	2068054.42563468	9.120162412	"Man-Made"	1.416	0.704697	12	2076	0.686	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2429"	-1263061.56753555	2025786.58045231	4.614972384	"Man-Made"	2.448	0.831912	9	133	0.764	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2438"	-1916837.12472576	2357249.15933243	10.04600704	"Man-Made"	4.64	0.510729	636	1674	152	"Good"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-2450"	-2231091.97499168	2626451.95280174	16.39814678	"Natural"	0.904	1.081569	3	148	0.817	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2453"	-1656896.68033843	2266090.36340118	2.549720428	"Man-Made"	4.593	0.497151	283	765	27.5	"Good"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-2457"	-1486263.22448468	1733429.95642644	4.518520298	"Man-Made"	3.688	1.373191	16	314	4.23	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2463"	-1218025.43567613	1999643.53945793	2.500256737	"Man-Made"	1.576	0.783753	6	183	1.52	"Good"	"Good"	"Good"	"Good"	"Good"
